process,software,data item,data model,data format specification,interchange format,data visualization,data validation,inference,source
,,CAD:Explicit Geometry,,,"Step, Iges, DXF",,,,Böhnke - 2009 - Data integration in preliminary airplane design
,,CAD:Implicit Geometry,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
exchange of design intents,,,,,"STEP; IGES, DXF",,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
Product Data Management,,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
Enterprise Resource Planning,,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
Digital MockUp,,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
product design,,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
manufacturing,,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
information sharing:exchange of design intents,,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
,,,STEP Part 42:EDM,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,Pro/E(PTC),,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,I-DEAS(SDRC),,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,CADDS5(CV),,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,SolidWorks,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,IDEAS,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,UG,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,CATIA,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
CAD,SolidEdge,,,,,,,,Choi et al. - Exchange of CAD Part Models Based on the Macro-Par
description of object oriented software,,,UML,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
exchange of design intents,,,,,Cpacs,,,,Böhnke - 2009 - Data integration in preliminary airplane design
exchange of design intents,,,,,.p21 or Xml,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,EXPRESS application,,Step,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Natural language Information Analysis Method (NIAM) application,,Object Role Model (ORM),,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Object Role Model (ORM),,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,IDEF1X Application,,IDEF1X,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,,,XML-Schema-Definition,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,,,,,Vrml,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,,,SysML,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
read data from the model,,,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
processe data,,,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
write data back to the model,,,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Expresso9,,Express,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,CoOM10,,Express,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Express Compiler in JSDAI,,Express,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Tixi,,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,libXml240,,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,C application,,C,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Fortran application,,Fortan,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Python Application,,Python,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Tigl,,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
,Eclipse,,,,,,,,Böhnke - 2009 - Data integration in preliminary airplane design
