,design,development,analysis,processing,review,evaluation,detailed,manufacturing,optimization,creation,check,reasoning,training,failure,acquisition,inference,manufacture,system design,navigation,knowledge engineering,scheduling,certification,archive,product design,solving,concept design,knowledge management,dissemination,information search,plm,decision support,product support,system integration,knowledge based engineering,resource description,mission analysis,ontology modeling,mdao,engine analysis,knowledge capture,project planning,disciplinary analysis,problem solving,semantic representation,authoring,test report,data visualization,information sharing,customer service,flight test,product verification,system arch,recycling,system specification,knowledge interaction,information classification,preliminary design,calculation report,ground test,ontological engineering,automated reasoning,system architecting,alm,detailed design,configuration management,data validation,data storage,knowledge base building,life cycle simulation,conceptual modelling,workflow management,analyzing,access product design data,feature processing,knowledge classification,knowledge storage,failure management,express ontology,system synthesis,multidisciplinary modeling,knowledge discovery,summarizing,crawling,product data management,link analysis,system identification,design space visualization,general assembly,knowledge exploration,context inference,enterprise resource planning,structural solver,flight test report,information push,tooling development,share documents,semantic lexicon,nation decision,design concepts formalization,semantic information transferring,access,word,api,excel,google,matlab,protégé,catia,eclipse,reasoner,tr,outlook,wikipedia,expert system,solidworks,oracle,rce,optimus,modelcenter,sumo,sas,file server,tigl,aaa,isight,brics,flops,express application,openmdao,tornado,tixi,ceasiom,spss,git,share point,workflow system,cad programming interface,data mining,python application,learning tools,prado,ideas,java application,imagenet,web server,syndeia,networkx,ug,jade,triple store,ke-chain,eclipse plugin,pykechain,jupyter notebook,janus,proteus,semsearch,whatsopt,multilinq,texttoonto,visualization package, engineering java programming,surrogate model repository,oracle server,vivisimo,solidedge,pest,fsms,cpacspy library,cfview,kaon,saxon,mopcssoviz,daedalus,davetools,description,material,ontology,difficulty,cad,image,quantity,knowledge base,taxonomy,metadata,video,audio,documents,animation,knowledge graph,bom,manufacturing method,forms,section description,system definition,mind map,assemblies,measurement data,cad representation,business logic,freebase,capp,images,design parts,word doc,babelnet,explicit geometry,sysml model,lexical data,tooling parts,object definitions,ikewiki,sweetwiki,animations,express,uml,python,sql,sysml,sysml ,sparql,vba,wordnet,cmdows,nosql,aerospace ontology,postgresql,kadmos,bfo,rds,openvsp,cypher,xquery,codex,xml-schema-definition,nasa taxonomy,owl dl,bond graphs,rvf,mdax,cco,vampzero,topic maps,orbital space environment domain ontology,fortan,dtad,yawl,addam,multiwordnet,serql,step,database,add,xml,owl,rdf,html,pdf,json,cpacs,iges,csv,vrml,soap,flash,direct api,stl,txt,dxf,jpeg,mpeg,parasolid,ms word,gif,png,igs,acis,jpg,mov,dwf,postscript,flat file,ms excel,tiff,wrp,dwg,wav,jpgs,wmv
design,163,159,156,128,126,124,119,106,105,101,100,92,87,84,78,72,70,62,62,54,48,44,39,38,37,35,31,31,30,28,23,21,20,14,13,13,13,13,12,12,12,12,12,10,9,9,9,9,8,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,148,102,74,40,36,35,27,27,25,24,22,20,17,16,16,15,14,12,11,9,9,8,8,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,143,108,96,80,75,66,65,58,55,52,46,26,25,16,13,12,11,11,8,7,6,6,5,5,5,5,5,5,3,2,2,1,1,1,1,1,1,1,1,117,52,46,29,28,28,26,12,10,9,9,8,8,8,6,6,6,5,5,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,150,138,130,106,61,49,40,32,25,21,13,13,10,10,9,7,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
development,159,160,153,126,124,124,115,105,103,101,98,91,87,84,79,71,70,59,62,53,47,44,39,38,35,35,30,30,30,27,23,21,20,14,13,13,13,13,12,12,12,12,11,10,10,9,8,9,8,7,7,7,7,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,2,3,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,0,145,100,71,40,34,35,27,26,25,24,22,19,16,15,16,14,14,12,11,8,9,8,8,7,7,7,7,5,6,6,6,6,6,6,4,4,5,5,5,5,5,5,4,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,143,107,94,80,74,65,65,57,55,50,46,26,25,16,13,11,11,11,8,7,6,6,5,5,5,4,5,5,3,2,2,1,1,0,1,1,1,1,1,114,51,46,28,28,28,26,11,9,9,9,8,7,8,6,6,6,5,5,3,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,146,134,128,105,60,47,40,32,26,21,13,13,10,9,9,7,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
analysis,156,153,156,126,121,120,115,102,102,98,95,90,83,82,77,70,68,61,59,51,48,43,36,36,36,32,30,31,29,26,23,20,18,13,13,13,12,13,12,12,12,12,11,9,9,9,8,9,7,7,6,6,7,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,1,3,1,2,2,2,2,2,2,2,2,1,1,0,1,1,1,1,0,142,100,71,40,35,35,26,26,25,24,21,20,16,16,16,14,14,12,11,9,9,8,8,7,7,7,7,6,6,6,6,6,6,5,5,4,5,5,4,5,5,5,4,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,137,105,92,79,72,66,64,56,54,50,45,26,24,15,13,11,10,11,7,7,6,6,5,5,5,5,5,5,3,2,2,1,1,1,1,1,1,1,0,113,51,44,28,28,28,24,11,10,9,9,7,8,8,6,6,6,5,5,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,144,133,127,100,57,47,38,31,23,21,13,13,10,9,9,6,5,4,4,4,4,4,3,3,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1
processing,128,126,126,128,100,104,97,84,84,87,79,79,77,70,68,63,58,48,54,41,46,35,33,29,34,25,25,28,30,24,20,17,18,11,9,9,11,8,10,11,9,9,11,9,9,9,8,7,6,6,4,6,7,4,5,2,5,3,3,4,4,3,5,4,4,3,3,3,1,4,2,4,2,3,2,3,2,2,2,2,3,2,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,118,87,61,32,33,30,22,23,20,22,19,17,16,13,15,14,10,9,11,8,8,5,6,5,7,4,6,3,5,4,5,4,6,5,4,3,5,5,4,5,4,5,3,4,2,3,2,2,2,2,1,2,1,2,1,1,2,0,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,114,92,81,68,59,57,54,46,49,45,43,24,23,16,11,11,5,10,6,3,5,6,5,4,4,5,5,5,3,2,2,1,1,1,1,1,1,1,1,97,41,39,28,22,22,23,9,10,5,9,3,8,4,5,4,6,5,4,3,2,1,2,2,0,0,2,2,1,1,1,1,1,1,1,1,118,116,107,83,50,42,37,29,22,13,12,13,9,9,9,6,5,4,4,4,4,4,3,3,2,3,3,2,2,2,2,0,1,1,1,1,1,1,1
review,126,124,121,100,126,101,93,88,85,82,83,74,77,71,68,58,63,41,55,42,44,39,36,28,32,27,25,27,24,25,17,15,13,12,11,12,9,10,9,10,11,8,10,9,7,6,7,6,7,7,4,7,7,4,5,5,4,5,3,4,4,4,5,3,3,3,3,4,3,1,2,3,2,2,3,1,3,1,2,1,3,2,3,2,2,2,2,1,1,2,2,1,1,1,0,0,1,1,1,1,122,87,62,37,31,32,22,23,22,18,18,17,15,11,15,13,10,9,9,8,9,6,7,6,6,6,6,3,4,5,5,5,6,4,2,3,4,5,4,5,4,5,4,4,2,3,2,3,3,2,2,2,2,2,1,2,2,1,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,113,91,75,71,61,62,53,42,47,42,44,25,22,14,9,10,6,8,7,6,4,4,5,4,2,4,5,5,0,2,2,0,0,0,1,1,1,1,0,95,43,38,24,23,23,19,12,8,6,8,5,7,5,6,6,3,5,3,3,1,1,1,0,1,1,2,1,1,1,1,1,0,0,1,0,117,106,100,82,50,40,35,30,21,15,11,11,10,6,9,6,4,4,4,4,3,4,2,3,2,3,3,2,2,2,1,1,1,1,1,1,1,1,1
evaluation,124,124,120,104,101,125,91,90,84,82,82,76,76,70,65,62,60,46,54,44,41,41,33,30,32,29,23,23,26,24,19,16,14,11,9,10,9,10,10,8,10,7,9,7,10,8,6,7,5,6,5,7,7,3,4,3,5,4,4,1,2,5,5,4,4,2,3,2,3,3,3,4,2,2,3,1,1,1,2,1,2,2,3,2,1,2,2,2,2,2,2,2,1,0,0,0,1,1,0,0,113,83,57,35,30,33,20,23,23,18,19,17,14,11,12,12,11,10,11,8,9,5,7,7,7,6,7,4,6,5,6,4,6,6,4,3,5,4,5,5,5,5,4,3,2,3,3,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,116,94,74,66,61,56,54,43,46,40,43,24,20,15,11,11,8,8,4,3,4,3,4,2,4,5,5,4,2,2,2,1,1,0,1,1,1,1,1,93,39,37,21,24,24,18,9,7,6,9,7,6,5,5,5,6,5,4,2,2,2,1,2,1,1,1,2,1,0,1,1,1,1,1,1,117,110,105,85,47,36,32,27,21,16,11,12,8,5,7,6,5,3,3,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1
detailed,119,115,115,97,93,91,119,78,86,77,84,66,66,61,62,50,57,49,52,40,40,41,30,25,31,26,20,26,20,23,15,14,14,10,7,10,8,12,8,8,9,12,10,3,8,7,8,7,5,2,6,6,5,3,5,4,3,2,3,4,3,5,5,4,3,3,2,3,3,3,4,3,2,2,2,2,0,3,2,3,2,3,3,0,1,2,2,2,2,1,2,2,1,1,1,0,1,1,0,1,111,72,65,35,27,32,18,23,24,16,18,19,15,13,12,13,13,11,9,7,8,6,8,7,6,6,6,5,6,6,6,6,5,5,4,4,5,5,3,4,5,4,3,3,3,2,3,2,3,2,2,2,2,2,0,2,1,2,2,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,105,87,69,64,57,47,51,41,41,42,33,21,23,13,8,11,5,8,6,5,6,5,4,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,90,40,40,27,23,23,20,12,7,8,6,3,5,8,3,6,6,3,5,3,2,2,2,1,2,2,0,2,0,0,1,1,1,1,0,1,113,102,103,82,45,33,29,21,19,20,11,11,7,7,7,6,3,3,3,3,3,4,2,1,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0
manufacturing,106,105,102,84,88,90,78,106,74,68,67,70,64,61,59,50,66,39,41,44,35,35,29,32,24,22,19,23,20,26,10,18,12,11,9,9,7,8,7,7,7,5,6,7,7,6,4,7,6,3,6,5,7,4,3,3,4,2,2,2,2,1,5,3,3,3,4,3,3,1,2,3,3,1,2,1,2,3,3,2,0,2,3,2,1,2,1,2,1,2,2,2,1,0,0,0,1,1,0,1,95,76,49,32,27,28,19,24,18,16,19,15,14,6,16,13,9,4,9,7,8,4,6,6,5,6,7,4,3,5,4,3,5,3,3,3,4,3,2,4,4,3,4,3,1,3,1,3,3,1,2,1,1,2,1,2,2,2,2,2,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,97,86,68,59,66,47,46,42,40,36,36,19,21,11,9,12,11,8,7,4,4,5,2,5,3,4,5,5,2,2,2,0,0,0,1,1,1,1,1,79,38,26,21,21,21,17,10,6,5,7,6,4,4,5,5,3,4,2,2,0,0,0,2,2,2,1,0,1,0,1,1,0,1,1,1,98,89,81,69,44,32,29,25,13,12,12,8,10,5,6,4,5,3,4,4,4,4,2,2,2,3,3,1,2,2,2,0,1,1,1,1,1,1,1
optimization,105,103,102,84,85,84,86,74,105,69,72,59,62,57,49,47,53,44,40,40,40,35,29,23,27,28,16,22,18,24,13,13,12,13,7,11,6,13,8,5,9,12,8,4,5,4,8,6,6,3,4,5,4,3,3,2,3,3,3,1,2,5,4,4,3,4,4,3,4,3,3,3,1,0,1,1,2,3,2,3,3,3,3,0,1,2,2,2,2,1,2,1,1,1,1,1,0,1,0,1,95,68,52,33,25,32,19,22,20,14,18,17,15,11,11,12,14,12,10,7,8,4,8,7,6,7,7,3,6,6,6,6,5,5,3,4,4,5,2,4,5,3,3,3,1,2,3,2,3,1,1,1,2,2,0,2,1,2,2,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,94,75,61,57,58,44,49,42,35,29,31,19,18,11,9,10,6,5,7,4,4,3,2,2,2,3,5,4,2,1,1,1,1,0,1,1,1,1,1,73,30,35,25,21,21,16,12,5,9,8,5,8,8,4,6,6,4,4,3,2,2,0,2,2,2,0,2,0,0,1,1,1,1,0,0,100,94,86,73,35,28,25,23,18,21,8,10,7,7,6,6,5,3,3,4,3,4,1,2,1,3,2,1,2,2,2,1,1,1,1,1,1,1,1
creation,101,101,98,87,82,82,77,68,69,102,69,60,59,50,59,52,48,35,42,36,35,29,30,23,29,21,22,26,23,23,16,11,14,10,10,7,9,10,9,9,6,10,8,6,9,4,5,8,4,4,4,6,6,2,4,4,2,3,1,4,4,1,3,2,3,4,3,3,1,3,1,3,3,2,3,2,2,1,2,3,2,0,3,1,2,2,1,1,1,2,2,2,0,1,1,0,1,1,1,0,97,68,54,28,28,27,18,23,20,18,16,17,15,14,12,11,11,9,11,8,8,5,6,6,7,5,5,4,5,4,5,5,6,6,5,4,5,4,4,3,4,4,3,3,2,3,2,2,2,2,0,1,2,2,1,2,1,2,2,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,94,73,66,58,53,49,48,39,42,42,38,24,21,14,6,8,7,6,3,4,6,4,3,1,2,2,4,4,3,2,2,1,0,0,1,1,1,1,0,83,35,31,20,18,18,21,9,7,7,9,4,6,6,5,4,4,4,4,3,2,1,0,2,2,2,2,2,1,1,1,1,1,1,1,1,95,91,86,69,43,35,34,27,21,14,9,9,8,8,8,7,4,3,3,4,4,4,1,3,3,3,2,2,2,2,2,0,1,1,1,1,1,1,1
