process,software,data item,data model,data format specification
review,word,,,,
processing,word,,,,
evaluation,word,,,,
review,access,,,,
review,access,,,,
inference,access,,,,
creation,access,,,,
acquisition,access,,,,
analysis,word,,,,
detailed,access,,,,
check,access,,,,
reasoning,access,,,,
processing,access,,,,
training,access,,,,
analysis,api,,,,
design,api,,,,
design,word,,,,
development,word,,,,
analysis,access,,,,
analysis,access,,,,
design,access,,,,
design,access,,,,
development,access,,,,
development,access,,,,
failure,access,,,,
optimization,access,,,,
evaluation,access,,,,
manufacturing,access,,,,
development,api,,,,
manufacturing,,cad,,,
reasoning,,ontology,,,
manufacturing,,material,,,
evaluation,,material,,,
review,,difficulty,,,
detailed,,material,,,
review,,material,,,
processing,,material,,,
training,,description,,,
inference,,description,,,
processing,,difficulty,,,
processing,,ontology,,,
evaluation,,difficulty,,,
evaluation,,description,,,
evaluation,,description,,,
analysis,,image,,,
creation,,description,,,
failure,,description,,,
manufacturing,,description,,,
reasoning,,description,,,
acquisition,,description,,,
analysis,,difficulty,,,
check,,description,,,
analysis,,material,,,
review,,description,,,
optimization,,description,,,
development,,description,,,
development,,description,,,
development,,material,,,
processing,,description,,,
development,,difficulty,,,
development,,cad,,,
analysis,,cad,,,
design,,image,,,
design,,cad,,,
design,,material,,,
detailed,,description,,,
analysis,,description,,,
analysis,,description,,,
design,,description,,,
design,,description,,,
analysis,,ontology,,,
design,,ontology,,,
design,,difficulty,,,
development,,ontology,,,
training,,,express,,
creation,,,express,,
processing,,,express,,
review,,,express,,
analysis,,,express,,
design,,,express,,
development,,,express,,
check,,,,add,
detailed,,,,add,
processing,,,,database,
processing,,,,database,
failure,,,,add,
training,,,,database,
optimization,,,,database,
creation,,,,database,
training,,,,step,
creation,,,,add,
evaluation,,,,add,
evaluation,,,,add,
training,,,,add,
check,,,,step,
failure,,,,database,
processing,,,,add,
processing,,,,add,
evaluation,,,,database,
optimization,,,,step,
detailed,,,,step,
check,,,,database,
manufacture,,,,step,
optimization,,,,add,
evaluation,,,,step,
reasoning,,,,database,
analysis,,,,add,
analysis,,,,add,
detailed,,,,database,
creation,,,,step,
review,,,,step,
failure,,,,step,
analysis,,,,database,
analysis,,,,database,
manufacturing,,,,step,
acquisition,,,,step,
analysis,,,,step,
analysis,,,,step,
processing,,,,step,
design,,,,step,
design,,,,database,
design,,,,database,
design,,,,step,
development,,,,xml,
inference,,,,step,
development,,,,add,
development,,,,add,
review,,,,database,
design,,,,add,
manufacturing,,,,database,
development,,,,step,
development,,,,step,
design,,,,xml,
development,,,,database,
development,,,,database,
reasoning,,,,step,
analysis,,,,xml,
,access,difficulty,,,
,word,description,,,
,access,ontology,,,
,access,material,,,
,access,description,,,
,access,description,,,
,access,cad,,,
,word,,express,,
,access,,express,,
,api,,,add,
,api,,,database,
,word,,,database,
,word,,,add,
,access,,,add,
,access,,,add,
,api,,,step,
,access,,,xml,
,word,,,step,
,access,,,step,
,access,,,step,
,access,,,database,
,access,,,database,
,,ontology,express,,
,,description,express,,
,,difficulty,,add,
,,material,,database,
,,material,,add,
,,cad,,step,
,,difficulty,,database,
,,material,,step,
,,difficulty,,step,
,,description,,step,
,,description,,step,
,,description,,xml,
,,ontology,,database,
,,description,,add,
,,ontology,,step,
,,description,,database,
,,description,,database,
,,,express,add,
,,,express,database,
,,,express,step,
