,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
264,RCwWuXC8WVU8clIS4R3IJfo,https://www.wikidata.org/wiki/q11724807,0.5739299610894941,0.49416342412451364,0.49416342412451364,0.8610169491525425,1.7423728813559323,0.21054822934488032,3.6395558508114285,0.9999999999999999
265,https://www.wikidata.org/wiki/q11724807,RCwWuXC8WVU8clIS4R3IJfo,0.49416342412451364,0.5739299610894941,0.49416342412451364,1.0,1.7423728813559323,0.21054822934488032,inf,0.8423076923076923
341,http://purl.obolibrary.org/obo/iao_000002725,RCFzhXwGcFGOcGnPNJJIaCZ,0.47568093385214005,0.796692607003891,0.448443579766537,0.9427402862985685,1.1833174777960056,0.06947209647383012,3.55061839911062,0.29546561278820377
271,http://purl.obolibrary.org/obo/bfo_000001543,http://www.ebi.ac.uk/swo/swo_00000012,0.541828793774319,0.7636186770428015,0.4892996108949416,0.903052064631957,1.1825955699893653,0.07554902420929921,2.438229571984438,0.33699712552709243
331,http://purl.obolibrary.org/obo/iao_000002743,http://purl.obolibrary.org/obo/bfo_0000015201,0.5515564202334631,0.7042801556420234,0.4571984435797665,0.8289241622574955,1.17698071657556,0.06874820209238591,1.7285891933089967,0.33531176443439314
374,http://purl.obolibrary.org/obo/iao_000002725,http://www.ebi.ac.uk/swo/swo_00000012,0.47568093385214005,0.7636186770428015,0.4270428015564202,0.8977505112474438,1.1756528988055697,0.06380395615376466,2.3118093385214014,0.2849578017166694
352,https://www.wikidata.org/wiki/q11724807,http://www.ebi.ac.uk/swo/swo_00000012,0.49416342412451364,0.7636186770428015,0.44163424124513617,0.8937007874015748,1.1703495661768395,0.06428182107223424,2.223735408560311,0.2877499152829549
346,R7ziCVDhtmb6kD4uhkIhtEA,http://www.ebi.ac.uk/swo/swo_00000012,0.4980544747081712,0.7636186770428015,0.44455252918287935,0.8925781249999999,1.1688793789808916,0.06422883011097819,2.2004952246197362,0.2878394653367936
387,https://www.wikidata.org/wiki/q11724807,http://purl.obolibrary.org/obo/bfo_0000015185,0.49416342412451364,0.7247081712062257,0.4182879377431907,0.8464566929133858,1.1679966178724304,0.060163666368907964,1.7929262695799655,0.2843470483005368
226,RBQjLNy92SMKEX9RjCqVQMk,http://purl.obolibrary.org/obo/bfo_0000015201,0.6546692607003891,0.7042801556420234,0.5350194552529183,0.8172362555720654,1.1603851805636507,0.07394888643279984,1.6180443516497418,0.40024583866837365
